,Aircraft,Type of Traveller,Seat Type,Date Flown,Seat Comfort,Cabin Staff Service,Food & Beverages,Inflight Entertainment,Ground Service,Wifi & Connectivity,Value For Money,Recommended,Date of Post,Overall Rating (/10)
1666,A330,Business,Business Class,June 2016,4,3,5,3,5,,5,Yes,26th June 2016,7
1667,Boeing 787,Couple Leisure,Premium Economy,May 2016,5,5,4,3,4,,5,Yes,24th June 2016,10
1668,Boeing 777-300 ER,Solo Leisure,Economy Class,June 2016,3,3,2,4,4,,2,Yes,24th June 2016,6
1669,,Solo Leisure,Economy Class,June 2016,2,3,2,5,2,2,2,No,24th June 2016,4
1670,,Solo Leisure,Economy Class,June 2016,4,3,3,3,1,,3,No,21st June 2016,3
1671,,Couple Leisure,Economy Class,May 2016,2,2,,,1,,2,No,11th June 2016,1
1672,E-190,Couple Leisure,Premium Economy,June 2016,3,5,3,4,4,,3,Yes,4th June 2016,7
1673,,Family Leisure,Economy Class,July 2015,5,5,5,4,5,,5,Yes,3rd June 2016,10
1674,,Family Leisure,Economy Class,May 2016,2,4,1,2,1,,3,Yes,26th May 2016,5
1675,Boeing 787-900,Solo Leisure,Business Class,May 2016,5,4,5,5,5,,5,Yes,26th May 2016,10
1676,,Family Leisure,Economy Class,May 2016,3,2,1,1,3,1,1,No,25th May 2016,1
1677,,Solo Leisure,Economy Class,May 2016,2,1,3,5,3,,4,No,24th May 2016,4
1678,Boeing 777,Couple Leisure,Economy Class,May 2016,3,1,4,3,3,,3,No,16th May 2016,5
1679,Boeing 777,Couple Leisure,Premium Economy,May 2016,4,3,4,3,3,,4,Yes,16th May 2016,8
1680,"DH400, AC8993",Business,Economy Class,May 2016,1,3,,,2,,1,No,12th May 2016,2
1681,Boeing 777-300,Couple Leisure,Economy Class,March 2016,4,3,4,5,5,,4,Yes,2nd May 2016,7
1682,,Family Leisure,Economy Class,April 2016,4,2,1,4,1,2,3,No,27th April 2016,3
1683,A320-200,Business,Economy Class,April 2016,4,5,5,4,5,5,4,Yes,25th April 2016,8
1684,Boeing 787-800 and A321-200,Family Leisure,Economy Class,April 2016,2,4,1,2,3,,3,Yes,25th April 2016,6
1685,Boeing 777-300ER,Solo Leisure,Premium Economy,April 2016,2,4,2,4,2,1,1,No,25th April 2016,3
1686,A319,Couple Leisure,Economy Class,April 2016,3,5,,4,3,,4,Yes,16th April 2016,9
1687,Boeing 787,Business,Economy Class,April 2016,1,1,3,3,4,,1,No,14th April 2016,2
1688,Boeing 787,Family Leisure,Economy Class,April 2016,1,2,,,2,,3,No,11th April 2016,2
1689,Boeing 767,Solo Leisure,Business Class,April 2016,2,4,2,4,3,,2,No,10th April 2016,5
1690,A319,Solo Leisure,Economy Class,February 2016,3,4,3,4,3,,3,Yes,5th April 2016,6
1691,de Havilland DHC-8,Solo Leisure,Economy Class,February 2016,1,2,2,,2,,2,Yes,5th April 2016,5
1692,Embraer,Couple Leisure,Economy Class,April 2016,4,5,,,5,,5,Yes,4th April 2016,10
1693,Boeing 767-300ER,Business,Business Class,March 2016,4,4,5,4,5,1,4,Yes,2nd April 2016,9
1694,Boeing 777-300ER,Solo Leisure,Economy Class,June 2015,5,4,3,4,4,,4,Yes,2nd April 2016,9
1695,A340,Couple Leisure,Economy Class,April 2016,2,1,2,2,1,1,1,No,1st April 2016,1
1696,Boeing 777-200ER / EMB190,Family Leisure,Economy Class,January 2016,4,5,5,4,4,,5,Yes,28th March 2016,10
1697,Boeing 787-9,Solo Leisure,Business Class,January 2016,5,5,5,4,3,,4,Yes,27th March 2016,8
1698,A321,Solo Leisure,Economy Class,October 2015,2,3,1,2,2,,2,Yes,27th March 2016,3
1699,Embraer 175,Solo Leisure,Economy Class,March 2016,4,4,4,3,4,3,4,Yes,22nd March 2016,7
1700,A320,Couple Leisure,Economy Class,November 2015,3,4,4,3,3,,3,No,22nd March 2016,5
1701,,Solo Leisure,Business Class,March 2016,5,1,2,5,4,5,3,No,20th March 2016,4
1702,,Couple Leisure,Economy Class,March 2016,1,1,1,,2,,3,No,20th March 2016,3
1703,A330-300,Business,Business Class,March 2016,4,4,2,3,5,,3,Yes,12th March 2016,6
1704,,Family Leisure,Economy Class,January 2016,2,1,2,4,1,,1,No,12th March 2016,1
1705,,Couple Leisure,Economy Class,March 2016,1,3,,,1,,1,No,11th March 2016,1
1706,,Solo Leisure,Economy Class,January 2016,1,1,,,1,,1,No,9th March 2016,1
1707,A319,Solo Leisure,Economy Class,March 2016,3,5,3,3,2,,4,Yes,7th March 2016,7
1708,A319,Solo Leisure,Economy Class,March 2016,3,5,2,3,4,1,4,Yes,7th March 2016,7
1709,,Solo Leisure,Economy Class,January 2016,1,1,1,1,1,,1,No,5th March 2016,1
1710,Boeing 767-300ER,Family Leisure,Economy Class,March 2016,4,5,4,4,4,,4,Yes,5th March 2016,9
1711,A330-300 / A319,Solo Leisure,Business Class,February 2016,5,5,5,2,5,,5,Yes,2nd March 2016,9
1712,Boeing 787-800,Family Leisure,Premium Economy,February 2016,4,5,4,5,5,,5,Yes,29th February 2016,10
1713,Boeing 787-8,Family Leisure,Premium Economy,February 2016,4,5,5,5,5,,5,Yes,29th February 2016,10
1714,A321 / Boeing 767,Business,Business Class,February 2016,3,4,2,3,4,,2,Yes,27th February 2016,5
1715,Boeing 767,Business,Economy Class,February 2016,3,3,4,2,1,,3,No,25th February 2016,2
1716,,Business,Economy Class,February 2016,2,2,1,1,2,1,1,No,23rd February 2016,4
1717,Boeing 767,Solo Leisure,Business Class,February 2016,4,4,4,,5,,3,Yes,21st February 2016,7
1718,,Family Leisure,Economy Class,February 2016,3,3,2,1,1,,2,No,21st February 2016,2
1719,Dash 8-100,Business,Economy Class,February 2016,5,5,3,,5,,4,Yes,20th February 2016,7
1720,,Solo Leisure,Economy Class,February 2016,4,2,2,3,1,,2,No,18th February 2016,2
1721,Dash 8-100,Business,Economy Class,February 2016,4,5,3,,4,,5,Yes,14th February 2016,10
1722,Boeing 787,Solo Leisure,Premium Economy,February 2016,5,5,4,5,3,5,5,Yes,9th February 2016,10
1723,Boeing 777-300ER,Solo Leisure,Premium Economy,February 2016,3,2,2,3,3,,3,No,9th February 2016,4
1724,Boeing 787,Solo Leisure,Economy Class,February 2016,4,5,4,5,4,4,3,Yes,8th February 2016,9
1725,Boeing 767,Solo Leisure,Business Class,January 2016,4,4,5,4,4,,4,Yes,8th February 2016,8
1726,Boeing 777-300,Couple Leisure,Business Class,August 2015,5,5,5,3,5,,5,Yes,3rd February 2016,10
1727,A330-300,Solo Leisure,Economy Class,February 2016,1,5,1,1,2,1,1,No,3rd February 2016,1
1728,E175,Solo Leisure,Economy Class,April 2015,4,4,4,4,4,,4,Yes,2nd February 2016,10
1729,,Couple Leisure,Economy Class,January 2016,1,1,1,4,1,,1,No,2nd February 2016,1
1730,Boeing 777,Couple Leisure,Premium Economy,January 2016,4,4,4,3,5,5,4,Yes,2nd February 2016,8
1731,"A320, Boeing 767",Business,Business Class,January 2016,3,5,3,3,2,,3,Yes,31st January 2016,6
1732,A319,Family Leisure,Economy Class,January 2016,1,1,1,2,2,1,1,No,31st January 2016,2
1733,,Couple Leisure,Economy Class,January 2016,5,5,,,5,,5,Yes,26th January 2016,10
1734,Boeing 767 / 777,Business,Business Class,January 2016,5,5,5,4,5,,4,Yes,25th January 2016,9
1735,,Couple Leisure,Economy Class,February 2015,,,,,1,1,1,No,17th January 2016,1
1736,A320,Solo Leisure,Business Class,January 2016,3,4,1,2,3,,2,No,15th January 2016,5
1737,,Couple Leisure,Economy Class,,,,,,1,,3,No,14th January 2016,3
1738,Embraer 190,Solo Leisure,Economy Class,January 2016,2,3,1,3,3,1,2,Yes,13th January 2016,5
1739,,Family Leisure,Economy Class,January 2016,3,3,3,5,1,,1,No,9th January 2016,1
1740,,Solo Leisure,Economy Class,January 2016,4,5,5,5,5,,4,Yes,9th January 2016,9
1741,,Solo Leisure,Economy Class,January 2016,4,4,4,4,5,,4,Yes,8th January 2016,10
1742,Boeing 787,Couple Leisure,Premium Economy,January 2016,4,4,3,5,3,,3,Yes,7th January 2016,8
1743,,Family Leisure,Economy Class,November 2015,3,4,,,1,,2,No,5th January 2016,1
1744,Boeing 777,Couple Leisure,Economy Class,December 2015,3,1,1,4,1,,1,No,3rd January 2016,1
1745,A330 / Boeing 777,Family Leisure,Economy Class,December 2015,1,1,3,,5,,2,No,2nd January 2016,3
1746,Boeing 777,Solo Leisure,Business Class,December 2015,2,4,3,4,4,,3,Yes,31st December 2015,6
1747,Boeing 777-300ER,Solo Leisure,Economy Class,December 2015,3,3,3,,2,,2,Yes,30th December 2015,4
1748,,Couple Leisure,Business Class,December 2015,4,1,1,1,2,1,3,No,25th December 2015,3
1749,Boeing 787,Couple Leisure,Business Class,December 2015,5,1,3,1,3,,3,No,24th December 2015,2
1750,Boeing 777 / A330,Business,Business Class,December 2015,4,5,3,4,4,,3,Yes,22nd December 2015,8
1751,,Business,Economy Class,May 2015,3,1,,3,1,,3,No,20th December 2015,1
1752,"Boeing 767-300ER, A320-200",Solo Leisure,Economy Class,December 2015,4,4,2,4,4,,5,Yes,18th December 2015,8
1753,,Couple Leisure,Economy Class,December 2015,1,1,1,1,1,1,1,No,12th December 2015,1
1754,,Business,Economy Class,December 2015,2,1,1,4,2,,2,No,10th December 2015,1
1755,Boeing 777-200,Couple Leisure,Economy Class,December 2015,3,4,3,3,4,,3,Yes,10th December 2015,6
1756,Boeing 787,Couple Leisure,Economy Class,November 2015,1,2,3,5,4,,4,Yes,7th December 2015,5
1757,Boeing 777-200LR,Solo Leisure,Business Class,November 2015,4,5,5,4,3,,4,Yes,6th December 2015,9
1758,Boeing 787,Solo Leisure,Business Class,December 2015,4,5,3,4,3,,4,No,6th December 2015,8
1759,A321,Business,Economy Class,November 2015,2,2,2,2,1,2,1,No,4th December 2015,1
1760,CRJ-705,Business,Economy Class,November 2015,3,4,3,3,4,,4,Yes,2nd December 2015,8
1761,E-175,Family Leisure,Economy Class,November 2015,5,5,4,5,4,,5,Yes,2nd December 2015,9
1762,,Family Leisure,Economy Class,November 2015,1,1,1,1,1,1,1,No,28th November 2015,1
1763,,Couple Leisure,Economy Class,August 2015,1,1,,,1,,1,No,26th November 2015,1
1764,,Solo Leisure,Economy Class,November 2015,3,3,,,3,,1,No,24th November 2015,1
1765,,Couple Leisure,Economy Class,November 2015,3,2,1,4,3,4,1,No,23rd November 2015,3
1766,Boeing 777-300,Couple Leisure,Economy Class,November 2015,2,3,1,3,3,,2,No,23rd November 2015,4
1767,Boeing 787,Family Leisure,Economy Class,November 2015,3,4,2,2,4,,5,Yes,15th November 2015,6
1768,Boeing 787,Solo Leisure,Business Class,October 2015,4,3,1,3,4,,3,Yes,15th November 2015,6
1769,Boeing 777,Business,Business Class,November 2015,3,4,3,3,4,,2,Yes,14th November 2015,7
1770,,Business,Business Class,November 2015,2,3,2,1,1,,1,No,13th November 2015,1
1771,,Couple Leisure,Economy Class,November 2015,,,,,1,,1,No,13th November 2015,1
1772,,Family Leisure,Economy Class,October 2015,3,3,,1,2,,1,No,12th November 2015,2
1773,Boeing 767,Solo Leisure,Economy Class,October 2015,4,4,4,,4,4,4,Yes,9th November 2015,7
1774,Dash 8-200,Family Leisure,Economy Class,October 2015,5,5,5,,5,,5,Yes,3rd November 2015,10
1775,Boeing 777-200,Couple Leisure,Economy Class,October 2015,1,1,1,1,1,1,1,No,3rd November 2015,1
1776,A330,Solo Leisure,Business Class,October 2015,5,5,4,4,5,3,5,Yes,1st November 2015,8
1777,,Couple Leisure,Economy Class,October 2015,1,2,2,,2,,2,No,30th October 2015,3
1778,Boeing 777-300,Family Leisure,Economy Class,July 2015,4,5,4,4,3,3,4,Yes,29th October 2015,8
1779,Boeing 777,Solo Leisure,Economy Class,October 2015,4,5,3,5,5,,5,Yes,27th October 2015,9
1780,,Family Leisure,Economy Class,October 2015,2,4,3,3,3,1,3,Yes,26th October 2015,7
1781,,Solo Leisure,Premium Economy,October 2015,4,5,4,4,3,,3,Yes,26th October 2015,8
1782,A321,Business,Business Class,October 2015,5,5,5,5,5,5,5,Yes,24th October 2015,10
1783,,Business,Economy Class,October 2015,1,2,,2,1,,1,No,23rd October 2015,1
1784,Boeing 787,Couple Leisure,Business Class,October 2015,5,5,3,5,4,,4,Yes,22nd October 2015,9
1785,,Business,Economy Class,October 2015,1,1,,,1,,1,No,22nd October 2015,1
1786,Boeing 777-300,Couple Leisure,Economy Class,October 2015,1,1,2,4,1,,3,No,21st October 2015,3
1787,A320 / Boeing 767,Business,Business Class,October 2015,3,4,3,3,5,,2,Yes,18th October 2015,7
1788,Boeing 777,Solo Leisure,Economy Class,September 2015,1,5,1,2,5,,2,No,16th October 2015,3
1789,A320,Family Leisure,Business Class,October 2015,4,5,4,4,4,,4,Yes,14th October 2015,8
1790,,Couple Leisure,Economy Class,October 2015,1,1,1,1,2,,3,No,14th October 2015,2
1791,A321,Couple Leisure,Business Class,October 2015,2,3,1,1,5,1,1,No,13th October 2015,5
1792,,Business,Economy Class,September 2015,2,1,1,2,2,,2,No,8th October 2015,3
1793,Boeing 777-300ER,Couple Leisure,Economy Class,September 2015,1,2,4,2,2,,3,No,7th October 2015,6
1794,A330-300,Solo Leisure,Economy Class,September 2015,4,5,4,3,4,3,5,Yes,4th October 2015,8
1795,,Couple Leisure,Economy Class,September 2015,1,1,1,3,3,,1,No,3rd October 2015,4
1796,ERJ-190,Solo Leisure,Economy Class,October 2015,3,5,2,5,4,,4,Yes,3rd October 2015,8
1797,787,Family Leisure,Economy Class,September 2015,1,1,1,1,1,1,1,No,2nd October 2015,1
1798,Boeing 777,Couple Leisure,Economy Class,September 2015,3,4,3,3,5,,4,Yes,1st October 2015,7
1799,Boeing 777,Couple Leisure,Economy Class,July 2015,3,4,3,4,4,,4,Yes,29th September 2015,7
1800,Boeing 777-300ER,Couple Leisure,Economy Class,September 2015,5,5,5,5,5,,5,Yes,28th September 2015,10
1801,Boeing 787,Solo Leisure,Business Class,September 2015,3,1,1,2,2,,1,No,28th September 2015,1
1802,Airbus 330-300,Couple Leisure,Economy Class,September 2015,2,2,1,4,2,,3,No,24th September 2015,4
1803,Boeing 787,Business,Business Class,September 2015,4,2,3,4,4,,3,Yes,21st September 2015,7
1804,,Solo Leisure,Economy Class,September 2015,1,1,,2,1,,1,No,20th September 2015,1
1805,,Solo Leisure,Economy Class,September 2015,5,5,5,5,5,,5,Yes,18th September 2015,9
1806,A320,Business,Business Class,September 2015,3,2,2,3,4,,2,Yes,18th September 2015,5
1807,,Couple Leisure,Economy Class,September 2015,3,3,,,1,,1,No,17th September 2015,2
1808,Boeing 777,Family Leisure,Economy Class,September 2015,5,5,4,5,5,,5,Yes,15th September 2015,10
1809,,Couple Leisure,Business Class,May 2015,3,2,2,2,1,,1,No,14th September 2015,1
1810,,Solo Leisure,Economy Class,March 2015,4,4,,,4,,4,No,11th September 2015,2
1811,,Family Leisure,Economy Class,August 2015,2,1,,,1,,1,No,11th September 2015,2
1812,Boeing 777-300,Solo Leisure,Business Class,August 2015,4,3,3,4,3,3,3,Yes,10th September 2015,9
1813,Boeing 767,Family Leisure,Economy Class,September 2015,1,4,3,1,3,5,1,No,9th September 2015,1
1814,,Couple Leisure,Economy Class,September 2015,1,1,1,1,1,1,1,No,8th September 2015,1
1815,,Solo Leisure,Economy Class,August 2015,5,5,5,,5,,5,Yes,6th September 2015,9
1816,,Family Leisure,First Class,August 2015,5,5,5,5,5,,5,Yes,6th September 2015,10
1817,Boeing 777,Couple Leisure,Economy Class,September 2015,1,1,1,2,1,,2,No,6th September 2015,1
1818,,Family Leisure,Economy Class,September 2015,5,5,1,3,1,,2,No,5th September 2015,2
1819,,Family Leisure,Business Class,August 2015,4,3,1,3,1,,1,No,4th September 2015,2
1820,,Couple Leisure,Economy Class,August 2015,3,2,1,3,2,,1,No,3rd September 2015,3
1821,,Family Leisure,Economy Class,August 2015,3,3,3,3,2,,1,No,1st September 2015,1
1822,,Solo Leisure,Economy Class,August 2015,3,4,2,3,3,,3,Yes,30th August 2015,7
1823,A330-300,Family Leisure,Economy Class,August 2015,5,3,5,5,4,2,4,Yes,30th August 2015,7
1824,,Solo Leisure,Economy Class,August 2015,2,1,2,3,1,,2,No,29th August 2015,2
1825,A319,Solo Leisure,Economy Class,August 2015,3,5,2,3,4,,5,Yes,27th August 2015,8
1826,Boeing 787,Business,Business Class,August 2015,5,5,2,5,5,5,3,Yes,24th August 2015,10
1827,,Couple Leisure,Business Class,August 2015,3,3,3,3,1,,2,No,23rd August 2015,2
1828,Boeing 777,Solo Leisure,Economy Class,August 2015,2,1,1,1,2,,3,Yes,23rd August 2015,5
1829,Boeing 777-300ER,Solo Leisure,First Class,August 2015,5,5,4,3,5,,5,Yes,23rd August 2015,8
1830,Boeing 777-300 ER,Family Leisure,Economy Class,August 2015,2,1,1,1,3,,1,No,21st August 2015,2
1831,,Couple Leisure,Economy Class,August 2015,2,2,1,1,1,1,1,No,21st August 2015,1
1832,E190,Family Leisure,Economy Class,August 2015,2,2,1,1,1,,2,No,20th August 2015,4
1833,,Business,Economy Class,August 2015,3,1,1,1,3,1,2,No,18th August 2015,2
1834,Boeing 767-300,Family Leisure,Economy Class,August 2015,4,4,3,4,3,,4,Yes,15th August 2015,8
1835,,Couple Leisure,Economy Class,April 2015,3,1,2,3,3,,3,No,14th August 2015,2
1836,Boeing 777-300ER,Solo Leisure,Economy Class,June 2015,4,4,3,4,3,,3,Yes,13th August 2015,7
1837,,Family Leisure,Business Class,July 2015,2,2,2,1,1,,1,No,13th August 2015,1
1838,,Solo Leisure,Economy Class,August 2015,2,1,1,,1,,1,No,11th August 2015,1
1839,Boeing 767,Family Leisure,Economy Class,August 2015,2,4,3,4,1,,2,No,11th August 2015,2
1840,,Family Leisure,Economy Class,August 2015,2,3,1,3,1,,2,No,11th August 2015,2
1841,,Solo Leisure,Economy Class,August 2015,3,1,,,1,,1,No,10th August 2015,1
1842,Boeing 777,Family Leisure,Economy Class,June 2015,4,4,2,4,4,,3,Yes,10th August 2015,7
1843,Boeing 767,Family Leisure,Economy Class,September 2014,5,5,5,4,4,2,3,Yes,10th August 2015,8
1844,,Solo Leisure,Economy Class,August 2015,2,1,1,2,2,,2,No,7th August 2015,2
1845,,Couple Leisure,Economy Class,July 2015,3,1,2,2,1,1,3,No,6th August 2015,2
1846,Boeing 727,Solo Leisure,Economy Class,April 2015,2,3,3,4,4,,4,Yes,6th August 2015,8
1847,,Business,Economy Class,August 2015,3,3,1,1,1,1,1,No,5th August 2015,1
1848,Boeing 777-300 / CRJ170,Family Leisure,Economy Class,July 2015,5,5,5,5,5,,4,Yes,4th August 2015,9
1849,Boeing 767,Family Leisure,Economy Class,July 2015,1,1,1,1,1,,1,No,30th July 2015,3
1850,,Couple Leisure,Economy Class,July 2015,1,1,1,2,1,,1,No,29th July 2015,1
1851,Boeing 767-300,Family Leisure,Economy Class,July 2015,1,4,2,1,2,,1,No,29th July 2015,1
1852,Boeing 777 and CRJ,Business,Business Class,July 2015,2,2,2,2,2,,3,Yes,29th July 2015,5
1853,A330,Solo Leisure,Economy Class,June 2015,3,2,1,3,3,,2,No,26th July 2015,3
1854,,Family Leisure,Economy Class,May 2015,1,3,1,,1,,1,No,25th July 2015,1
1855,B767-300,Family Leisure,Economy Class,July 2015,1,1,1,1,2,1,2,No,25th July 2015,1
1856,,Solo Leisure,Economy Class,June 2015,3,1,,,1,,3,No,23rd July 2015,2
1857,,Solo Leisure,Business Class,June 2015,3,4,4,4,3,,3,Yes,23rd July 2015,8
1858,,Family Leisure,First Class,July 2015,1,1,1,,1,,1,No,22nd July 2015,1
1859,A320,Business,Economy Class,July 2015,3,2,1,5,3,,1,No,22nd July 2015,4
1860,A320 and Boeing 777,Business,Business Class,July 2015,2,4,2,1,4,,2,Yes,21st July 2015,5
1861,,Couple Leisure,Business Class,July 2015,5,5,3,4,4,,4,Yes,21st July 2015,8
1862,,Business,Economy Class,July 2015,2,4,3,1,1,1,1,No,20th July 2015,4
1863,,Business,Economy Class,July 2015,2,3,3,3,1,3,1,No,19th July 2015,2
1864,,Family Leisure,Economy Class,May 2015,1,1,1,1,1,,1,No,18th July 2015,1
1865,,Solo Leisure,Economy Class,July 2015,2,3,1,3,1,,2,No,18th July 2015,1
1866,,Family Leisure,Economy Class,July 2015,1,1,1,1,1,,1,No,15th July 2015,1
1867,,Family Leisure,Economy Class,June 2015,4,5,3,5,5,4,4,Yes,14th July 2015,9
1868,A330,Family Leisure,Economy Class,July 2015,2,1,1,2,1,,2,No,14th July 2015,2
1869,Boeing 787-800,Solo Leisure,Business Class,July 2015,4,4,5,4,4,,5,Yes,13th July 2015,9
1870,Embraer 190,Solo Leisure,Business Class,July 2015,4,4,4,,3,,5,Yes,13th July 2015,9
1871,,Solo Leisure,Economy Class,June 2015,1,3,3,3,3,,1,Yes,11th July 2015,1
1872,A321,Business,Economy Class,July 2015,1,1,1,1,1,1,1,No,8th July 2015,1
1873,A319 / Boeing 737,Couple Leisure,Economy Class,November 2014,3,3,,,3,,3,Yes,8th July 2015,6
1874,,Business,Business Class,July 2015,4,4,1,1,4,1,1,Yes,7th July 2015,5
1875,,Couple Leisure,Economy Class,July 2015,5,4,4,4,4,,4,Yes,7th July 2015,8
1876,,Family Leisure,Economy Class,June 2015,2,3,,3,1,,2,No,6th July 2015,1
1877,,Couple Leisure,Economy Class,July 2015,1,2,,,1,,1,No,6th July 2015,1
1878,A319 / Boeing 777-300ER,Family Leisure,Economy Class,June 2015,2,4,3,4,3,,5,Yes,6th July 2015,7
1879,,Couple Leisure,Economy Class,June 2015,2,1,1,1,1,1,1,No,4th July 2015,1
1880,Boeing 777-300ER,Couple Leisure,Economy Class,July 2015,4,5,3,3,4,,3,No,3rd July 2015,7
1881,Embarer 175,Family Leisure,Economy Class,June 2015,4,4,3,4,4,,4,Yes,2nd July 2015,7
1882,Boeing 777,Business,Economy Class,June 2015,3,2,1,3,3,,4,Yes,29th June 2015,6
1883,,Couple Leisure,Economy Class,June 2015,1,1,1,4,2,,2,No,28th June 2015,1
1884,,Solo Leisure,Economy Class,March 2015,4,4,4,5,1,1,2,No,26th June 2015,4
1885,,Solo Leisure,Economy Class,June 2015,3,3,1,,1,,1,No,24th June 2015,1
1886,Boeing 787-8,Family Leisure,Economy Class,June 2015,4,5,4,5,5,,5,Yes,22nd June 2015,9
1887,Boeing 777,Solo Leisure,Economy Class,June 2015,4,4,4,4,5,4,5,Yes,21st June 2015,10
1888,Boeing 777-300ER,Couple Leisure,Economy Class,June 2015,3,3,1,3,1,,3,No,19th June 2015,5
1889,,Solo Leisure,Economy Class,June 2015,1,2,1,3,2,,2,No,16th June 2015,4
1890,"A320-214, E190-100, DHC8-100",Solo Leisure,Economy Class,September 2014,2,3,2,3,4,,5,Yes,16th June 2015,7
1891,A320,Couple Leisure,Business Class,June 2015,3,3,3,4,3,,2,Yes,16th June 2015,6
1892,,Couple Leisure,Economy Class,May 2015,5,5,5,4,,,5,Yes,16th June 2015,10
1893,,Solo Leisure,Economy Class,June 2015,5,4,3,,1,,3,No,15th June 2015,4
1894,,Solo Leisure,Business Class,June 2015,1,4,2,3,4,,1,No,15th June 2015,2
1895,B777W,Family Leisure,Economy Class,June 2015,3,1,3,5,1,,3,No,14th June 2015,5
1896,,Couple Leisure,Economy Class,,5,2,4,3,,,3,No,12th June 2015,1
1897,A319,Solo Leisure,Economy Class,,2,5,3,3,,,3,Yes,11th June 2015,7
1898,Boeing 777-300ER,Solo Leisure,Economy Class,May 2015,4,5,3,5,,,5,Yes,11th June 2015,10
1899,,,Business Class,,5,5,5,4,,,5,Yes,6th June 2015,8
1900,,,Business Class,,5,5,5,4,,,5,Yes,6th June 2015,8
1901,,,Economy Class,,5,5,3,4,,,5,Yes,6th June 2015,10
1902,,,Economy Class,,2,4,1,2,,,3,No,31st May 2015,4
1903,,,Economy Class,,3,1,2,3,,,1,No,31st May 2015,1
1904,,,Economy Class,,4,4,3,3,,,3,Yes,31st May 2015,6
1905,,,Economy Class,,4,4,5,3,,,3,Yes,29th May 2015,7
1906,,,Economy Class,,2,1,3,4,,,2,No,22nd May 2015,2
1907,,,Economy Class,,4,2,2,1,,,4,Yes,18th May 2015,6
1908,,,Economy Class,,5,5,4,4,,,4,Yes,16th May 2015,9
1909,,,Economy Class,,4,5,4,4,,,4,Yes,11th May 2015,8
1910,,,Economy Class,,3,1,1,1,,,3,No,11th May 2015,3
1911,,,Economy Class,,2,2,1,3,,,2,No,10th May 2015,5
1912,,,Economy Class,,1,1,1,1,,,2,No,8th May 2015,1
1913,,,Economy Class,,2,2,1,2,,,1,No,8th May 2015,3
1914,,,Business Class,,5,5,5,5,,,5,Yes,8th May 2015,10
1915,,,Business Class,,4,5,5,4,,,4,Yes,8th May 2015,10
1916,,,Economy Class,,3,2,4,2,,,4,Yes,5th May 2015,6
1917,,,Economy Class,,1,1,1,3,,,1,No,4th May 2015,1
1918,,,Economy Class,,2,1,3,3,,,2,No,1st May 2015,5
1919,,,Economy Class,,3,1,1,2,,,3,No,1st May 2015,1
1920,,,Economy Class,,2,1,2,2,,,1,No,30th April 2015,1
1921,,,Economy Class,,3,5,3,4,,,4,Yes,30th April 2015,7
1922,,,Business Class,,1,4,1,1,,,3,No,30th April 2015,1
1923,,,Economy Class,,3,5,4,3,,,4,Yes,28th April 2015,4
1924,,,Business Class,,5,5,5,5,,,4,Yes,27th April 2015,10
1925,,,Business Class,,5,5,5,5,,,4,Yes,27th April 2015,10
1926,,,Economy Class,,4,5,3,5,,,5,Yes,27th April 2015,10
1927,,,Business Class,,5,4,4,4,,,5,Yes,24th April 2015,9
1928,,,Economy Class,,1,2,1,1,,,1,No,23rd April 2015,4
1929,,,Economy Class,,1,2,1,4,,,3,No,22nd April 2015,2
1930,,,Economy Class,,2,4,3,5,,,4,Yes,19th April 2015,7
1931,,,Business Class,,2,2,2,2,,,2,No,19th April 2015,4
1932,,,Economy Class,,4,5,5,5,,,4,Yes,19th April 2015,10
1933,,,Premium Economy,,3,4,4,5,,,5,Yes,16th April 2015,8
1934,,,Economy Class,,1,1,1,1,,,1,No,16th April 2015,1
1935,,,Economy Class,,3,4,3,5,,,4,Yes,14th April 2015,7
1936,,,Economy Class,,2,1,1,3,,,3,No,14th April 2015,5
1937,,,Economy Class,,3,1,1,2,,,2,No,14th April 2015,3
1938,,,Business Class,,3,3,3,3,,,2,No,12th April 2015,6
1939,,,Business Class,,5,5,5,3,,,5,Yes,12th April 2015,9
1940,,,Economy Class,,4,4,4,4,,,4,Yes,12th April 2015,9
1941,,,Business Class,,2,3,2,3,,,1,No,8th April 2015,2
1942,,,Economy Class,,2,1,1,3,,,1,No,3rd April 2015,1
1943,,,Business Class,,2,1,1,2,,,1,No,29th March 2015,1
1944,,,Economy Class,,2,2,1,2,,,2,No,28th March 2015,5
1945,,,Economy Class,,2,1,2,2,,,3,No,28th March 2015,3
1946,,,Economy Class,,3,3,3,5,,,4,Yes,28th March 2015,8
1947,,,Business Class,,5,5,4,4,,,5,Yes,26th March 2015,10
1948,,,Economy Class,,3,4,4,4,,,3,Yes,23rd March 2015,7
1949,,,Economy Class,,4,1,1,2,,,3,No,23rd March 2015,1
1950,,,Business Class,,4,5,3,3,,,3,Yes,17th March 2015,8
1951,,,Premium Economy,,4,2,2,4,,,4,Yes,9th March 2015,7
1952,,,Business Class,,3,1,2,4,,,1,No,4th March 2015,3
1953,,,Business Class,,3,2,3,5,,,3,Yes,4th March 2015,5
1954,,,Economy Class,,2,1,1,2,,,2,No,4th March 2015,1
1955,,,Economy Class,,1,1,1,1,,,1,No,24th February 2015,1
1956,,,Economy Class,,3,2,2,3,,,1,No,24th February 2015,1
